pnpm 8.6.7-1
polkit 122-1
polkit-gnome 0.105-10
popt 1.19-1
portaudio 1:19.7.0-2
procps-ng 4.0.3-1
protobuf 23.4-1
psmisc 23.6-1
python 3.11.3-2
python-cairo 1.23.0-6
python-gobject 3.44.1-4
qbittorrent 4.5.4-1
qt5-base 5.15.10+kde+r130-1
qt5-declarative 5.15.10+kde+r26-1
qt5-location 5.15.10+kde+r4-2
qt5-svg 5.15.10+kde+r8-1
qt5-translations 5.15.10-1
qt5-webchannel 5.15.10+kde+r3-1
qt6-base 6.5.1-5
qt6-declarative 6.5.1-2
qt6-imageformats 6.5.1-1
qt6-svg 6.5.1-1
qt6-translations 6.5.1-1
qt6-wayland 6.5.1-1
rav1e 0.6.6-1
re2 1:20230301-1
readline 8.2.001-2
reflector 2023-1
rnnoise 0.4.1-1
rsync 3.2.7-4
sbc 2.0-1
sdl2 2.28.1-1
seatd 0.7.0-3
sed 4.9-3
serd 0.30.16-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
slurp 1.4.0-1
snappy 1.1.9-2
sord 0.16.14-1
speex 1.2.1-1
speexdsp 1.2.1-1
sqlite 3.42.0-1
sratom 0.6.14-1
srt 1.5.2-1
startup-notification 0.12-8
sudo 1.9.13.p3-1
svt-av1 1.6.0-1
sway 1:1.8.1-1
swaybg 1.2.0-1
swayidle 1.8.0-1
swaylock 1.7.2-1
systemd 253.6-2
systemd-libs 253.6-2
systemd-sysvcompat 253.6-2
tar 1.34-2
telegram-desktop 4.8.4-2
texinfo 7.0.3-1
thunar 4.18.6-1
thunar-archive-plugin 0.5.1-1
tpm2-tss 4.0.1-1
tracker3 3.5.3-2
tslib 1.22-1
ttf-font-awesome 6.4.0-1
ttf-ibm-plex 6.1.1-1
ttf-jetbrains-mono 2.304-1
ttf-liberation 2.1.5-1
ttf-opensans 1.101-2
tzdata 2023c-2
unzip 6.0-19
util-linux 2.39.1-1
util-linux-libs 2.39.1-1
v4l-utils 1.24.1-2
vid.stab 1.1.1-1
vim 9.0.1676-1
vim-runtime 9.0.1676-1
visual-studio-code-bin 1.80.0-1
vmaf 2.3.1-1
vulkan-headers 1:1.3.256-1
vulkan-icd-loader 1.3.255-1
wayland 1.22.0-1
webrtc-audio-processing 0.3.1-3
wev 1.0.0-12
which 2.21-6
wireplumber 0.4.14-1
wlroots 0.16.2-1
wofi 1.3-2
wpa_supplicant 2:2.10-8
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xcb-proto 1.15.2-3
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xdg-utils 1.1.3+25+g8ae0263-1
xfconf 4.18.1-1
xkeyboard-config 2.39-1
xorg-fonts-encodings 1.0.7-1
xorg-server-common 21.1.8-2
xorg-setxkbmap 1.3.4-1
xorg-xkbcomp 1.4.6-1
xorg-xprop 1.2.6-1
xorg-xset 1.2.5-1
xorg-xwayland 23.1.2-1
xorgproto 2023.2-1
xvidcore 1.3.7-2
xxhash 0.8.1-4
xz 5.4.3-1
yay 12.1.0-1
zeromq 4.3.4-4
zimg 3.0.4-1
zip 3.0-10
zlib 1:1.2.13-3
zram-generator 1.1.2-1
zsh 5.9-4
zstd 1.5.5-1
